Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
_14:238549	  222.0	   53.2	    4.2	   99.4	  24.07	  24.93	  25.81	  -0.85	   0.00	--------	-1	0.00	*
_4:734988	  222.0	   53.2	    4.2	   98.9	  24.07	  24.93	  26.06	  -0.98	   0.00	--------	-1	0.00	*
_7:470587	  222.0	   53.2	    4.2	   92.5	  24.07	  24.93	  29.75	  -0.87	   0.00	--------	-1	0.00	*
_18:185994	  369.0	  137.5	    2.7	   95.6	  24.06	  24.92	  99.33	  -0.64	   0.41	--------	-1	0.00	*
_22:327609	  254.0	   71.0	    3.6	   94.5	  24.01	  24.87	  41.44	  -0.76	   0.01	--------	-1	0.00	*
_11:503099	  332.0	  115.3	    2.9	  148.1	  23.91	  24.77	  38.17	  -0.74	   0.48	--------	-1	0.00	*
_20:129555	  267.2	   78.1	    3.4	   97.7	  23.91	  24.76	  45.13	  -0.74	   0.00	--------	-1	0.00	*
_17:579802	  211.0	   48.8	    4.3	   93.5	  23.85	  24.70	  25.12	  -0.88	   0.00	--------	-1	0.00	*
_8:140018	  301.0	   97.6	    3.1	  134.4	  23.83	  24.68	  34.70	  -0.75	   0.00	--------	-1	0.00	*
_28:243031	  262.0	   75.4	    3.5	   91.7	  23.80	  24.65	  47.12	  -0.60	   0.00	--------	-1	0.00	*
_25:245672	  285.0	   88.7	    3.2	  108.0	  23.77	  24.61	  44.85	  -0.69	   0.66	--------	-1	0.00	*
_12:717924	  284.2	   88.7	    3.2	   93.6	  23.77	  24.61	  56.28	  -0.85	   0.00	--------	-1	0.00	*
_24:60070	  270.0	   71.0	    3.8	  134.2	  23.76	  28.03	  24.60	  -0.77	   0.31	--------	-1	0.00	*
_11:770442	  331.0	  115.3	    2.9	  109.3	  23.75	  24.59	  64.66	  -0.75	   0.00	--------	-1	0.00	*
_4:543522	  245.0	   66.5	    3.7	  102.3	  23.72	  24.56	  32.54	  -0.74	   0.00	--------	-1	0.00	*
_2:844740	  241.0	   62.1	    3.9	  114.6	  23.68	  25.26	  24.51	  -0.74	   0.00	--------	-1	0.00	*
_1:232261	  210.0	   48.8	    4.3	   92.5	  23.66	  24.49	  25.32	  -0.90	   0.00	--------	-1	0.00	*
_20:479989	  252.0	   71.0	    3.6	   97.7	  23.65	  24.48	  38.31	  -0.77	   0.00	--------	-1	0.00	*
_8:166134	  252.0	   71.0	    3.6	   91.7	  23.65	  24.48	  42.59	  -0.83	   0.58	--------	-1	0.00	*
_30:54065	  429.0	  177.4	    2.4	  159.4	  23.62	  24.45	  69.10	  -0.63	   0.64	--------	-1	0.00	*
_12:327576	  237.0	   48.8	    4.9	  112.0	  23.62	  30.31	  24.45	  -0.85	   0.00	--------	-1	0.00	*
_3:983689	  234.1	   61.2	    3.8	   93.4	  23.62	  24.44	  34.23	  -0.83	   0.00	--------	-1	0.00	*
_19:92927	  351.0	  128.6	    2.7	  129.9	  23.53	  24.36	  57.17	  -0.81	   0.00	--------	-1	0.00	*
_1:1363693	  292.0	   93.1	    3.1	   96.2	  23.48	  24.30	  57.38	  -0.83	   0.00	--------	-1	0.00	*
_18:438080	  236.0	   62.1	    3.8	  101.7	  23.44	  24.26	  29.52	  -1.02	   0.00	--------	-1	0.00	*
_3:274811	  283.0	   88.7	    3.2	  125.9	  23.43	  24.25	  32.94	  -0.74	   0.00	--------	-1	0.00	*
_2:1353045	  350.0	  128.6	    2.7	   96.0	  23.38	  24.19	  88.03	  -1.01	   0.00	--------	-1	0.00	*
_5:524352	  243.0	   66.5	    3.7	  113.6	  23.35	  24.17	  25.64	  -0.93	   0.00	--------	-1	0.00	*
_5:1058617	  298.0	   97.6	    3.1	  136.4	  23.33	  24.14	  32.61	  -0.69	   0.32	--------	-1	0.00	*
_3:709565	  399.0	  159.7	    2.5	   93.4	  23.32	  24.13	 120.54	  -0.77	   0.00	--------	-1	0.00	*
_10:40835	  291.0	   93.1	    3.1	   95.4	  23.31	  24.12	  57.66	  -0.64	   0.00	--------	-1	0.00	*
_25:93579	  250.0	   71.0	    3.5	  103.4	  23.29	  24.09	  33.79	  -0.96	   0.00	--------	-1	0.00	*
_6:48043	  275.0	   84.3	    3.3	  123.4	  23.26	  24.07	  31.51	  -0.71	   0.00	--------	-1	0.00	*
_6:1002348	  234.5	   62.8	    3.7	  102.1	  23.26	  24.06	  28.95	  -0.76	   0.00	--------	-1	0.00	*
_14:428596	  203.0	   39.9	    5.1	   90.4	  23.15	  27.02	  23.95	  -0.79	   0.00	--------	-1	0.00	*
_29:227706	  312.0	  106.4	    2.9	   99.8	  23.11	  23.91	  63.94	  -0.81	   0.00	--------	-1	0.00	*
_1:1945198	  217.0	   53.2	    4.1	   92.5	  23.10	  23.90	  27.87	  -1.00	   0.00	--------	-1	0.00	*
_8:841661	  369.0	  141.9	    2.6	  131.2	  23.08	  23.88	  64.13	  -0.68	   0.32	--------	-1	0.00	*
_1:383192	  234.0	   62.1	    3.8	  107.1	  23.07	  23.87	  25.92	  -0.69	   0.00	--------	-1	0.00	*
_6:632137	  362.0	  137.5	    2.6	  153.3	  22.99	  23.78	  46.14	  -0.78	   0.43	--------	-1	0.00	*
_12:746071	  241.0	   66.5	    3.6	   90.9	  22.99	  23.78	  38.46	  -0.86	   0.00	--------	-1	0.00	*
_14:633607	  245.0	   48.8	    5.0	  118.9	  22.97	  32.08	  23.76	  -0.83	   0.00	--------	-1	0.00	*
_5:567615	  289.0	   93.1	    3.1	   98.6	  22.97	  23.76	  53.92	  -0.87	   0.00	--------	-1	0.00	*
_1:246393	  224.0	   57.7	    3.9	   92.5	  22.97	  23.76	  30.51	  -0.81	   0.00	--------	-1	0.00	*
_6:38992	  311.0	  106.4	    2.9	  121.3	  22.96	  23.74	  46.46	  -0.89	   0.00	--------	-1	0.00	*
_13:330831	  257.0	   75.4	    3.4	   96.7	  22.91	  23.70	  41.12	  -0.92	   0.12	--------	-1	0.00	*
_23:105244	  264.0	   79.8	    3.3	  100.0	  22.89	  23.67	  41.70	  -0.77	   0.54	--------	-1	0.00	*
_8:517090	  303.0	  102.0	    3.0	  115.3	  22.74	  23.52	  47.28	  -0.61	   0.00	--------	-1	0.00	*
_16:530498	  256.0	   75.4	    3.4	   94.7	  22.73	  23.51	  42.11	  -0.77	   0.09	--------	-1	0.00	*
_6:977721	  283.9	   91.1	    3.1	  101.2	  22.70	  23.48	  49.53	  -0.78	   0.00	--------	-1	0.00	*
_16:469458	  208.0	   35.5	    5.9	   94.7	  22.65	  30.17	  23.43	  -0.65	   0.00	--------	-1	0.00	*
_23:357220	  287.0	   93.1	    3.1	  124.3	  22.63	  23.40	  35.26	  -0.79	   0.00	--------	-1	0.00	*
_4:946905	  239.0	   66.5	    3.6	  103.6	  22.62	  23.39	  29.58	  -0.81	   0.34	--------	-1	0.00	*
_4:742177	  273.0	   85.4	    3.2	   94.8	  22.61	  23.38	  49.60	  -0.93	   0.00	--------	-1	0.00	*
_23:99599	  302.0	  102.0	    3.0	  101.5	  22.58	  23.35	  57.56	  -0.94	   0.00	--------	-1	0.00	*
_3:236166	  255.0	   75.4	    3.4	   93.4	  22.55	  23.32	  42.62	  -0.78	   0.00	--------	-1	0.00	*
_1:795047	  262.0	   79.8	    3.3	   92.5	  22.53	  23.29	  46.47	  -0.72	   0.47	--------	-1	0.00	*
_2:551942	  262.0	   79.8	    3.3	  101.2	  22.53	  23.29	  39.99	  -1.03	   0.02	--------	-1	0.00	*
_3:86204	  262.0	   79.8	    3.3	   93.4	  22.53	  23.29	  45.72	  -0.73	   0.00	--------	-1	0.00	*
_6:811135	  308.0	  106.4	    2.9	  101.2	  22.46	  23.22	  60.74	  -0.93	   0.00	--------	-1	0.00	*
_1:2174545	  204.0	   44.4	    4.6	   92.5	  22.45	  24.94	  23.21	  -0.92	   0.43	--------	-1	0.00	*
_1:667580	  203.1	   41.3	    4.9	   92.5	  22.45	  26.30	  23.21	  -1.04	   0.00	--------	-1	0.00	*
_6:834980	  218.7	   56.2	    3.9	  101.2	  22.38	  23.13	  23.85	  -0.98	   0.00	--------	-1	0.00	*
_7:917941	  245.0	   71.0	    3.5	  104.7	  22.38	  23.13	  31.14	  -0.98	   0.00	--------	-1	0.00	*
_29:141629	  254.0	   75.4	    3.4	  118.8	  22.38	  23.13	  26.73	  -0.61	   0.00	--------	-1	0.00	*
_19:129562	  345.2	  130.5	    2.6	  116.7	  22.25	  23.00	  65.40	  -1.07	   0.00	--------	-1	0.00	*
_17:82659	  237.0	   66.5	    3.6	  105.6	  22.25	  23.00	  27.72	  -1.04	   0.20	--------	-1	0.00	*
_17:314949	  237.0	   66.5	    3.6	   93.5	  22.25	  23.00	  35.00	  -0.84	   0.08	--------	-1	0.00	*
_25:387961	  336.0	  124.2	    2.7	  103.4	  22.21	  22.95	  72.62	  -0.72	   0.00	--------	-1	0.00	*
_29:185321	  244.0	   71.0	    3.4	  113.1	  22.20	  22.94	  26.21	  -0.71	   0.00	--------	-1	0.00	*
_7:873329	  213.0	   48.8	    4.4	   99.0	  22.19	  25.13	  22.93	  -0.87	   0.00	--------	-1	0.00	*
_18:502180	  259.0	   71.0	    3.6	  130.5	  22.18	  25.85	  22.92	  -1.04	   0.00	--------	-1	0.00	*
_13:283664	  229.3	   35.6	    6.4	  110.5	  22.18	  35.35	  22.92	  -1.07	   0.00	--------	-1	0.00	*
_13:652738	  299.0	  102.0	    2.9	   96.7	  22.08	  22.82	  60.41	  -0.83	   0.23	--------	-1	0.00	*
_10:681493	  327.0	  119.7	    2.7	  106.4	  22.07	  22.81	  65.27	  -0.88	   0.39	--------	-1	0.00	*
_3:862620	  327.0	  119.7	    2.7	   93.4	  22.07	  22.81	  78.12	  -0.92	   0.14	--------	-1	0.00	*
_18:148394	  252.0	   75.4	    3.3	  108.5	  22.02	  22.75	  31.50	  -0.70	   0.00	--------	-1	0.00	*
_4:19465	  268.0	   79.8	    3.4	  137.2	  22.01	  24.42	  22.75	  -1.14	   0.00	--------	-1	0.00	*
_27:187172	  259.0	   79.8	    3.2	  120.2	  22.01	  22.74	  27.69	  -0.77	   0.00	--------	-1	0.00	*
_3:446861	  204.0	   48.8	    4.2	   93.4	  21.98	  23.24	  22.71	  -0.83	   0.00	--------	-1	0.00	*
_6:913968	  341.0	  128.6	    2.7	  161.5	  21.99	  22.71	  34.41	  -0.72	   0.48	--------	-1	0.00	*
_20:655059	  305.0	  106.4	    2.9	  111.5	  21.98	  22.71	  50.93	  -0.86	   0.65	--------	-1	0.00	*
_15:18757	  210.0	   31.0	    6.8	   97.5	  21.95	  32.85	  22.68	  -0.81	   0.00	--------	-1	0.00	*
_11:403320	  211.0	   53.2	    4.0	   92.3	  21.95	  22.68	  25.75	  -0.94	   0.00	--------	-1	0.00	*
_13:235746	  235.0	   66.5	    3.5	   96.7	  21.89	  22.61	  32.18	  -1.17	   0.05	--------	-1	0.00	*
_13:92602	  242.0	   71.0	    3.4	   98.9	  21.84	  22.56	  33.50	  -0.79	   0.28	--------	-1	0.00	*
_17:474889	  273.0	   88.7	    3.1	   93.5	  21.71	  22.43	  50.71	  -0.93	   0.00	--------	-1	0.00	*
_13:571519	  266.0	   84.3	    3.2	   97.3	  21.70	  22.42	  44.52	  -0.83	   0.31	--------	-1	0.00	*
_21:356471	  339.0	  128.6	    2.6	  189.2	  21.67	  22.39	  22.46	  -0.75	   0.28	--------	-1	0.00	*
_28:346429	  303.0	  106.4	    2.8	   79.2	  21.65	  22.36	  80.99	  -0.77	   0.47	--------	-1	0.00	*
_26:181326	  279.0	   84.3	    3.3	  146.0	  21.60	  24.81	  22.31	  -0.80	   0.00	--------	-1	0.00	*
_1:1162456	  324.0	  119.7	    2.7	   97.6	  21.60	  22.31	  72.14	  -0.98	   0.12	--------	-1	0.00	*
_13:392949	  233.0	   66.5	    3.5	  103.2	  21.52	  22.23	  27.61	  -1.03	   0.00	--------	-1	0.00	*
_20:362938	  420.0	  181.8	    2.3	  141.1	  21.50	  22.21	  79.56	  -0.66	   0.00	--------	-1	0.00	*
_1:580026	  249.0	   75.4	    3.3	   92.5	  21.49	  22.19	  40.73	  -0.74	   0.00	--------	-1	0.00	*
_3:1450470	  302.0	  106.4	    2.8	   93.4	  21.49	  22.19	  64.92	  -0.77	   0.45	--------	-1	0.00	*
_7:536250	  185.6	   38.6	    4.8	   82.7	  21.44	  23.73	  22.15	  -1.06	   0.00	--------	-1	0.00	*
_19:541823	  295.0	  102.0	    2.9	  128.4	  21.43	  22.13	  35.87	  -0.80	   0.00	--------	-1	0.00	*
_26:315151	  251.5	   77.3	    3.3	  117.7	  21.39	  22.10	  26.59	  -0.82	   0.00	--------	-1	0.00	*
_14:68677	  255.0	   79.8	    3.2	  129.2	  21.30	  22.00	  22.28	  -0.81	   0.00	--------	-1	0.00	*
_14:186798	  198.0	   48.8	    4.1	   90.4	  21.29	  21.99	  22.22	  -0.99	   0.00	--------	-1	0.00	*
_1:2184152	  201.0	   48.8	    4.1	   92.9	  21.26	  22.61	  21.96	  -0.83	   0.14	--------	-1	0.00	*
_21:316128	  295.0	   79.8	    3.7	  158.5	  21.24	  29.63	  21.94	  -0.65	   0.00	--------	-1	0.00	*
_20:549544	  344.0	  133.1	    2.6	  123.4	  21.22	  21.91	  59.06	  -0.69	   0.50	--------	-1	0.00	*
_9:741682	  263.0	   84.3	    3.1	  104.2	  21.18	  21.87	  38.38	  -0.99	   0.00	--------	-1	0.00	*
_9:289409	  262.9	   84.6	    3.1	  111.2	  21.18	  21.87	  34.00	  -1.06	   0.06	--------	-1	0.00	*
_4:583338	  207.0	   53.2	    3.9	   94.8	  21.18	  21.87	  23.02	  -0.67	   0.00	--------	-1	0.00	*
_6:566188	  285.0	   97.6	    2.9	  101.2	  21.16	  21.85	  49.98	  -0.82	   0.16	--------	-1	0.00	*
_3:647696	  254.0	   79.8	    3.2	   93.4	  21.13	  21.82	  42.18	  -0.88	   0.00	--------	-1	0.00	*
_12:723814	  370.0	  150.8	    2.5	  117.3	  21.13	  21.81	  76.55	  -0.84	   0.00	--------	-1	0.00	*
_22:133024	  231.0	   31.0	    7.4	  113.6	  21.12	  37.94	  21.81	  -0.87	   0.00	--------	-1	0.00	*
_1:330746	  293.0	  102.0	    2.9	   92.5	  21.10	  21.79	  61.28	  -0.73	   0.58	--------	-1	0.00	*
_3:1331545	  293.0	  102.0	    2.9	   93.4	  21.11	  21.79	  60.39	  -1.05	   0.00	--------	-1	0.00	*
_13:413408	  206.0	   53.2	    3.9	   96.7	  20.98	  21.67	  21.77	  -0.84	   0.00	--------	-1	0.00	*
_14:407892	  230.0	   66.5	    3.5	   90.4	  20.97	  21.65	  34.21	  -0.83	   0.36	--------	-1	0.00	*
_11:610269	  246.0	   75.4	    3.3	   92.3	  20.96	  21.64	  39.54	  -0.68	   0.00	--------	-1	0.00	*
_3:415321	  277.0	   93.1	    3.0	   93.8	  20.95	  21.63	  52.33	  -0.91	   0.56	--------	-1	0.00	*
_19:239082	  298.0	  106.4	    2.8	  133.9	  20.84	  21.52	  33.91	  -0.81	   0.41	--------	-1	0.00	*
_15:149768	  276.0	   93.1	    3.0	   97.5	  20.78	  21.46	  48.82	  -0.67	   0.29	--------	-1	0.00	*
_16:316390	  252.0	   79.8	    3.2	   94.7	  20.78	  21.45	  40.39	  -0.91	   0.19	--------	-1	0.00	*
_7:585687	  252.7	   80.3	    3.1	   82.7	  20.64	  21.32	  50.51	  -0.85	   0.00	--------	-1	0.00	*
_20:212889	  205.8	   45.1	    4.6	   97.7	  20.60	  24.93	  21.28	  -1.18	   0.00	--------	-1	0.00	*
_2:1472311	  197.0	   39.9	    4.9	   91.7	  20.58	  25.68	  21.25	  -1.01	   0.00	--------	-1	0.00	*
_7:858710	  235.0	   71.0	    3.3	   89.2	  20.57	  21.24	  37.16	  -0.97	   0.00	--------	-1	0.00	*
_26:141960	  281.0	   97.6	    2.9	  115.7	  20.49	  21.16	  38.13	  -0.63	   0.00	--------	-1	0.00	*
_13:177941	  289.0	  102.0	    2.8	  151.4	  20.44	  21.11	  23.02	  -0.88	   0.00	--------	-1	0.00	*
_27:288657	  274.0	   93.1	    2.9	   93.9	  20.44	  21.11	  50.86	  -0.88	   0.00	--------	-1	0.00	*
_3:195141	  250.0	   79.8	    3.1	   95.6	  20.42	  21.09	  38.94	  -0.82	   0.00	--------	-1	0.00	*
_4:770549	  250.0	   79.8	    3.1	  109.5	  20.42	  21.09	  30.24	  -1.08	   0.00	--------	-1	0.00	*
_4:170637	  243.0	   75.4	    3.2	  108.8	  20.42	  21.08	  28.13	  -0.65	   0.25	--------	-1	0.00	*
_16:275189	  201.0	   35.5	    5.7	   94.7	  20.42	  28.56	  21.08	  -0.77	   0.30	--------	-1	0.00	*
_1:910753	  280.0	   97.6	    2.9	  107.4	  20.33	  20.99	  43.16	  -0.88	   0.00	--------	-1	0.00	*
_4:955195	  280.0	   97.6	    2.9	   94.8	  20.33	  20.99	  52.86	  -0.71	   0.00	--------	-1	0.00	*
_18:496001	  219.0	   39.9	    5.5	  107.1	  20.33	  30.64	  20.98	  -0.68	   0.00	--------	-1	0.00	*
_24:376228	  220.1	   63.3	    3.5	   91.0	  20.31	  20.97	  30.28	  -0.78	   0.00	--------	-1	0.00	*
_30:267540	  378.0	  159.7	    2.4	  200.2	  20.28	  20.93	  28.80	  -0.65	   0.00	--------	-1	0.00	*
_9:83937	  242.0	   75.4	    3.2	  117.2	  20.25	  20.90	  23.59	  -0.56	   0.00	--------	-1	0.00	*
_1:1044182	  258.0	   66.5	    3.9	  134.7	  20.24	  27.15	  20.89	  -0.77	   0.00	--------	-1	0.00	*
_10:961622	  226.0	   66.5	    3.4	   95.4	  20.24	  20.89	  29.53	  -0.86	   0.00	--------	-1	0.00	*
_24:212817	  272.0	   93.1	    2.9	   84.8	  20.11	  20.76	  58.00	  -0.62	   0.60	--------	-1	0.00	*
_15:524951	  308.0	  115.3	    2.7	   97.5	  20.10	  20.74	  64.08	  -0.86	   0.63	--------	-1	0.00	*
_25:377295	  248.0	   79.8	    3.1	  103.4	  20.08	  20.73	  33.02	  -1.33	   0.00	--------	-1	0.00	*
_20:256513	  241.0	   75.4	    3.2	   97.7	  20.07	  20.72	  33.88	  -0.87	   0.00	--------	-1	0.00	*
_22:290285	  241.0	   75.4	    3.2	  118.2	  20.07	  20.72	  22.84	  -0.99	   0.00	--------	-1	0.00	*
_12:557118	  232.0	   71.0	    3.3	   91.6	  20.03	  20.68	  34.24	  -0.60	   0.00	--------	-1	0.00	*
_16:634064	  232.0	   71.0	    3.3	   99.4	  20.04	  20.68	  29.39	  -0.84	   0.42	--------	-1	0.00	*
_32:141332	  293.0	  106.4	    2.8	  113.8	  20.03	  20.68	  44.17	  -0.71	   0.61	--------	-1	0.00	*
_16:720269	  240.0	   75.4	    3.2	   94.7	  19.89	  20.53	  35.41	  -0.74	   0.24	--------	-1	0.00	*
_3:161587	  224.0	   66.5	    3.4	   99.4	  19.87	  20.51	  26.51	  -0.76	   0.00	--------	-1	0.00	*
_21:567296	  292.0	   88.7	    3.3	  160.3	  19.86	  25.91	  20.50	  -0.68	   0.51	--------	-1	0.00	*
_27:136232	  270.0	   93.1	    2.9	   93.9	  19.78	  20.41	  49.01	  -0.84	   0.55	--------	-1	0.00	*
_17:51681	  246.0	   79.8	    3.1	  115.4	  19.73	  20.37	  25.76	  -0.77	   0.00	--------	-1	0.00	*
_15:613171	  216.0	   62.1	    3.5	   97.5	  19.73	  20.36	  24.72	  -0.76	   0.28	--------	-1	0.00	*
_3:1131538	  344.3	  140.4	    2.5	  101.4	  19.72	  20.36	  79.38	  -0.90	   0.00	--------	-1	0.00	*
_15:274196	  291.0	  106.4	    2.7	  140.8	  19.71	  20.34	  28.16	  -0.79	   0.20	--------	-1	0.00	*
_4:909973	  291.0	  106.4	    2.7	   94.8	  19.71	  20.34	  58.13	  -1.06	   0.00	--------	-1	0.00	*
_29:147189	  223.0	   66.5	    3.4	  104.2	  19.70	  20.33	  23.68	  -0.80	   0.00	--------	-1	0.00	*
_8:182097	  223.0	   66.5	    3.4	   91.7	  19.70	  20.33	  30.59	  -0.75	   0.00	--------	-1	0.00	*
_8:633494	  326.0	  128.6	    2.5	   91.7	  19.69	  20.31	  79.44	  -1.18	   0.14	--------	-1	0.00	*
_21:436294	  252.6	   78.2	    3.2	  132.6	  19.68	  21.96	  20.31	  -0.85	   0.00	--------	-1	0.00	*
_11:757737	  230.0	   71.0	    3.2	   92.3	  19.68	  20.31	  32.95	  -1.02	   0.00	--------	-1	0.00	*
_7:157513	  230.0	   71.0	    3.2	   82.7	  19.68	  20.31	  39.79	  -0.77	   0.48	--------	-1	0.00	*
_12:782976	  297.0	  110.9	    2.7	  105.2	  19.64	  20.26	  52.20	  -0.67	   0.00	--------	-1	0.00	*
_6:196914	  239.2	   66.5	    3.6	  123.6	  19.60	  23.58	  20.22	  -0.85	   0.00	--------	-1	0.00	*
_23:45599	  319.0	  124.2	    2.6	  105.9	  19.58	  20.21	  61.90	  -0.66	   0.67	--------	-1	0.00	*
_10:278667	  311.0	  119.7	    2.6	   95.4	  19.57	  20.19	  67.65	  -0.91	   0.56	--------	-1	0.00	*
_14:679443	  245.0	   79.8	    3.1	  106.5	  19.57	  20.19	  30.09	  -0.73	   0.00	--------	-1	0.00	*
_19:347586	  245.0	   79.8	    3.1	  116.7	  19.57	  20.19	  24.79	  -0.83	   0.00	--------	-1	0.00	*
_18:164639	  215.0	   62.1	    3.5	  105.1	  19.55	  20.17	  20.65	  -0.74	   0.00	--------	-1	0.00	*
_10:363659	  260.0	   88.7	    2.9	  125.3	  19.52	  20.13	  25.55	  -0.85	   0.17	--------	-1	0.00	*
_7:923412	  229.0	   71.0	    3.2	   84.2	  19.51	  20.12	  38.19	  -0.76	   0.00	--------	-1	0.00	*
_13:185640	  345.0	  141.9	    2.4	  101.6	  19.51	  20.12	  79.10	  -0.90	   0.00	--------	-1	0.00	*
_9:622408	  199.2	   54.6	    3.6	   85.3	  19.49	  20.10	  25.73	  -0.89	   0.00	--------	-1	0.00	*
_2:211061	  304.0	  115.3	    2.6	   91.7	  19.48	  20.09	  67.69	  -0.73	   0.54	--------	-1	0.00	*
_1:680907	  268.0	   93.1	    2.9	   98.2	  19.46	  20.07	  44.74	  -0.69	   0.00	--------	-1	0.00	*
_10:346642	  268.0	   93.1	    2.9	   95.4	  19.46	  20.07	  46.90	  -0.92	   0.00	--------	-1	0.00	*
_19:426254	  268.0	   93.1	    2.9	  116.7	  19.46	  20.07	  32.67	  -0.68	   0.00	--------	-1	0.00	*
_11:779939	  289.0	  106.4	    2.7	  121.6	  19.41	  20.01	  37.58	  -0.95	   0.00	--------	-1	0.00	*
_2:274425	  244.0	   79.8	    3.1	  126.2	  19.40	  20.01	  20.31	  -0.74	   0.49	--------	-1	0.00	*
_10:689190	  296.4	  111.7	    2.7	   95.4	  19.40	  20.00	  60.59	  -0.81	   0.00	--------	-1	0.00	*
_4:984978	  274.0	   97.6	    2.8	  118.2	  19.36	  19.96	  34.02	  -0.82	   0.00	--------	-1	0.00	*
_23:449215	  254.3	   65.7	    3.9	  134.9	  19.36	  26.93	  19.96	  -0.73	   0.00	--------	-1	0.00	*
_14:211962	  259.0	   88.7	    2.9	  114.1	  19.36	  19.96	  30.89	  -1.03	   0.72	--------	-1	0.00	*
_7:206123	  411.0	  186.3	    2.2	   99.3	  19.27	  19.87	 119.92	  -0.67	   0.00	--------	-1	0.00	*
_3:128095	  236.0	   75.4	    3.1	  103.5	  19.21	  19.81	  28.55	  -0.68	   0.00	--------	-1	0.00	*
_7:26002	  236.0	   75.4	    3.1	  116.6	  19.21	  19.81	  22.01	  -0.70	   0.00	--------	-1	0.00	*
_28:129539	  273.0	   97.6	    2.8	   79.8	  19.20	  19.80	  63.50	  -1.01	   0.39	--------	-1	0.00	*
_7:793074	  258.0	   88.7	    2.9	   88.3	  19.19	  19.79	  48.06	  -1.07	   0.18	--------	-1	0.00	*
_5:50309	  294.0	  110.9	    2.7	  105.1	  19.18	  19.77	  50.91	  -0.70	   0.62	--------	-1	0.00	*
_9:454965	  302.0	  115.3	    2.6	   94.1	  19.18	  19.77	  64.27	  -0.98	   0.00	--------	-1	0.00	*
_16:86386	  370.0	  159.7	    2.3	  140.3	  19.16	  19.75	  57.75	  -0.67	   0.57	--------	-1	0.00	*
_28:337450	  227.0	   71.0	    3.2	   79.2	  19.16	  19.75	  41.18	  -0.98	   0.00	--------	-1	0.00	*
_14:66514	  251.0	   84.3	    3.0	  118.5	  19.15	  19.74	  25.89	  -0.71	   0.25	--------	-1	0.00	*
_16:540757	  200.0	   44.4	    4.5	   96.9	  19.13	  24.08	  19.72	  -0.85	   0.00	--------	-1	0.00	*
_31:189223	  308.0	  119.7	    2.6	  160.7	  19.13	  19.71	  24.67	  -1.03	   0.00	--------	-1	0.00	*
_1:2330718	  389.0	  173.0	    2.2	   92.5	  19.10	  19.69	 115.61	  -0.83	   0.23	--------	-1	0.00	*
_30:175487	  342.0	  141.9	    2.4	  162.6	  19.08	  19.67	  34.19	  -0.86	   0.18	--------	-1	0.00	*
_27:283878	  235.0	   75.4	    3.1	   93.9	  19.04	  19.63	  33.95	  -0.67	   0.00	--------	-1	0.00	*
_11:638546	  231.0	   53.2	    4.3	  118.7	  19.04	  26.81	  19.62	  -0.83	   0.00	--------	-1	0.00	*
_1:1242556	  203.0	   57.7	    3.5	   94.4	  19.03	  19.61	  21.88	  -0.80	   0.39	--------	-1	0.00	*
_29:156672	  203.0	   57.7	    3.5	   76.5	  19.03	  19.61	  32.67	  -1.08	   0.00	--------	-1	0.00	*
_18:430240	  253.0	   66.5	    3.8	  134.4	  19.00	  26.15	  19.58	  -1.06	   0.27	--------	-1	0.00	*
_6:93073	  250.0	   84.3	    3.0	  115.6	  18.98	  19.56	  26.99	  -0.61	   0.00	--------	-1	0.00	*
_18:491689	  265.0	   93.1	    2.8	  126.7	  18.98	  19.56	  26.46	  -0.84	   0.00	--------	-1	0.00	*
_3:769792	  246.0	   44.4	    5.5	  129.5	  18.98	  34.27	  19.56	  -0.99	   0.00	--------	-1	0.00	*
_4:68273	  227.0	   53.2	    4.3	  116.0	  18.98	  25.97	  19.55	  -0.92	   0.41	--------	-1	0.00	*
_1:1241557	  235.6	   76.5	    3.1	   92.5	  18.92	  19.50	  35.27	  -1.14	   0.00	--------	-1	0.00	*
_11:527903	  195.0	   53.2	    3.7	   92.3	  18.91	  19.48	  20.26	  -0.91	   0.00	--------	-1	0.00	*
_1:866348	  271.0	   97.6	    2.8	   92.5	  18.89	  19.46	  50.62	  -1.04	   0.47	--------	-1	0.00	*
_11:862637	  256.0	   88.7	    2.9	   92.3	  18.87	  19.44	  43.89	  -0.74	   0.02	--------	-1	0.00	*
_12:236346	  218.0	   66.5	    3.3	   90.9	  18.82	  19.39	  29.19	  -0.85	   0.16	--------	-1	0.00	*
_18:618974	  196.3	   28.1	    7.0	   95.6	  18.78	  31.46	  19.35	  -0.99	   0.00	--------	-1	0.00	*
_17:664735	  233.0	   75.4	    3.1	   93.5	  18.70	  19.27	  33.40	  -0.98	   0.00	--------	-1	0.00	*
_11:605233	  278.0	  102.0	    2.7	   92.3	  18.70	  19.27	  54.05	  -1.12	   0.37	--------	-1	0.00	*
_16:259315	  263.0	   93.1	    2.8	   94.7	  18.65	  19.22	  45.18	  -0.68	   0.00	--------	-1	0.00	*
_20:453218	  248.0	   84.3	    2.9	   97.7	  18.65	  19.21	  36.67	  -0.92	   0.00	--------	-1	0.00	*
_5:112999	  248.0	   84.3	    2.9	   93.8	  18.65	  19.21	  39.37	  -1.20	   0.00	--------	-1	0.00	*
